epoch	train_loss	valid_loss	acc_metric	time
0	0.261547	0.222151	0.912837	18:23
1	0.247528	0.261180	0.862800	18:27
2	0.224542	0.232387	0.894214	18:27
3	0.191177	0.188962	0.921439	18:27
4	0.183985	0.245728	0.893045	18:31
5	0.155833	0.147637	0.941505	18:31
6	0.121267	0.126488	0.946615	18:30
7	0.108142	0.105315	0.957988	18:33
8	0.105612	0.110077	0.953794	18:37
9	0.141569	0.119828	0.949527	18:32
