epoch	train_loss	valid_loss	acc_metric	time
0	0.271732	0.246034	0.875700	19:14
1	0.255513	0.207637	0.912597	19:12
2	0.211356	0.187413	0.923918	19:13
3	0.166683	0.222490	0.918658	19:13
4	0.148582	0.159688	0.934735	19:13
5	0.166621	0.161631	0.930643	19:15
6	0.123383	0.141934	0.938431	19:14
7	0.128502	0.165279	0.924851	19:15
8	0.110361	0.132475	0.943119	19:17
9	0.116361	0.126933	0.944505	19:17
