epoch	train_loss	valid_loss	acc_metric	time
0	0.265438	0.200435	0.922537	19:07
1	0.213876	0.191343	0.906997	19:07
2	0.216781	0.227738	0.906387	19:13
3	0.168865	0.194046	0.908437	19:10
4	0.142911	0.167314	0.931262	19:12
5	0.160129	0.155091	0.939792	19:10
6	0.125675	0.124947	0.948323	19:12
7	0.117204	0.123711	0.948633	19:11
8	0.117161	0.144663	0.937970	19:18
9	0.119891	0.121954	0.947963	19:13
